Date : 2024-01-05 20:02:42
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 122 files,  10780 codes, 763 comments, 799 blanks, all 12342 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| windows/flutter                                                                                                       |          2 |         26 |          9 |         11 |         46 |
| windows/runner                                                                                                        |          8 |        428 |         85 |        132 |        645 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                              | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /Users/richardtozer/dev/projects/daufootytipping/README.md                                                            | Markdown     |         31 |          0 |         21 |         52 |
| /Users/richardtozer/dev/projects/daufootytipping/analysis_options.yaml                                                | YAML         |          3 |         22 |          4 |         29 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/build.gradle                                             | Gradle       |         52 |          5 |         12 |         69 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/google-services.json                                     | JSON         |         55 |          0 |          0 |         55 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/debug/AndroidManifest.xml                            | XML          |          3 |          4 |          1 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/AndroidManifest.xml                             | XML          |         33 |          7 |          2 |         42 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/drawable-v21/launch_background.xml          | XML          |          4 |          7 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/drawable/launch_background.xml              | XML          |          4 |          7 |          2 |         13 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml           | XML          |          6 |          0 |          0 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/values-night/styles.xml                     | XML          |          9 |          9 |          1 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/main/res/values/styles.xml                           | XML          |          9 |          9 |          1 |         19 |
| /Users/richardtozer/dev/projects/daufootytipping/android/app/src/profile/AndroidManifest.xml                          | XML          |          3 |          4 |          1 |          8 |
| /Users/richardtozer/dev/projects/daufootytipping/android/build.gradle                                                 | Gradle       |         31 |          2 |          8 |         41 |
| /Users/richardtozer/dev/projects/daufootytipping/android/gradle.properties                                            | Properties   |          3 |          0 |          1 |          4 |
| /Users/richardtozer/dev/projects/daufootytipping/android/gradle/wrapper/gradle-wrapper.properties                     | Properties   |          5 |          0 |          1 |          6 |
| /Users/richardtozer/dev/projects/daufootytipping/android/settings.gradle                                              | Gradle       |         16 |          0 |          5 |         21 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Auckland_colours.svg                                    | XML          |         70 |          1 |          1 |         72 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Brisbane_colours.svg                                    | XML          |         66 |          1 |          1 |         68 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Canberra_colours.svg                                    | XML          |         68 |          1 |          2 |         71 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Canterbury_colours.svg                                  | XML          |         62 |          1 |          1 |         64 |
| /Users/richardtozer/dev/projects/daufootytipping/assets/teams/Cronulla_colours.svg                                    | XML          |         69 |          1 |          1 |         71 |
