"filename", "language", "XML", "Markdown", "CMake", "C++", "YAML", "JSON", "HTML", "Shell Script", "TypeScript", "JavaScript", "JSON with Comments", "Dart", "Gradle", "Properties", "Swift", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/assets/afl.svg", "XML", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 39
"/Users/richardtozer/dev/projects/daufootytipping/assets/epl.svg", "XML", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 87
"/Users/richardtozer/dev/projects/daufootytipping/assets/nrl.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/blues.svg", "XML", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 134
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/bombers.svg", "XML", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/bulldogs.svg", "XML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/cats.svg", "XML", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 79
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/crows.svg", "XML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/demons.svg", "XML", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/dockers.svg", "XML", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/eagles.svg", "XML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/giants.svg", "XML", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/hawks.svg", "XML", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/kagaroos.svg", "XML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/lions.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/magpies.svg", "XML", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/power-old.svg", "XML", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/power.svg", "XML", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/saints.svg", "XML", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/suns.svg", "XML", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/swans.svg", "XML", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/tigers.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Auckland_colours.svg", "XML", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Brisbane_colours.svg", "XML", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 191
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canberra_colours.svg", "XML", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canterbury_colours.svg", "XML", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 84
