"filename", "language", "Shell Script", "YAML", "C++", "JSON", "Dart", "TypeScript", "JSON with Comments", "JavaScript", "XML", "Properties", "Gradle", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/power.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/saints.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/suns.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/swans.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/tigers.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Auckland_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 1, 1, 72
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Brisbane_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 1, 1, 68
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canberra_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canterbury_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Cronulla_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Dolphins_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Eastern_Suburbs_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Gold_Coast_Titans_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Manly_Sea_Eagles_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Melbourne_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Newcastle_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/North_Queensland_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Parramatta_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Penrith_Panthers_square_flag_icon_with_2020_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/South_Sydney_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/St._George_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Wests_Tigers_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/cleanup.sh", "Shell Script", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 34
"/Users/richardtozer/dev/projects/daufootytipping/database.rules.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/richardtozer/dev/projects/daufootytipping/devtools_options.yaml", "YAML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/richardtozer/dev/projects/daufootytipping/firebase.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/richardtozer/dev/projects/daufootytipping/functions/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/richardtozer/dev/projects/daufootytipping/functions/package-lock.json", "JSON", 0, 0, 0, 8321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8322
"/Users/richardtozer/dev/projects/daufootytipping/functions/package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 8
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/services/legacy_service.ts", "TypeScript", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 16, 15, 139
"/Users/richardtozer/dev/projects/daufootytipping/functions/src/services/messaging_service_prune_devicetokens.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 1, 48
"/Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.dev.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/richardtozer/dev/projects/daufootytipping/functions/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 2, 3, 24
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/Contents.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"/Users/richardtozer/dev/projects/daufootytipping/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 1, 30
