"filename", "language", "Shell Script", "JSON", "Dart", "TypeScript", "JSON with Comments", "JavaScript", "XML", "YAML", "Gradle", "Swift", "comment", "blank", "total"
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/suns.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/swans.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/afl/tigers.svg", "XML", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Auckland_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 1, 72
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Brisbane_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 1, 1, 68
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canberra_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 2, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Canterbury_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Cronulla_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Dolphins_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 1, 2, 75
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Eastern_Suburbs_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Gold_Coast_Titans_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Manly_Sea_Eagles_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Melbourne_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Newcastle_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/North_Queensland_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 1, 1, 71
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Parramatta_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 1, 64
"/Users/richardtozer/dev/projects/daufootytipping/assets/teams/nrl/Penrith_Panthers_square_flag_icon_with_2020_colours.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
